id|description|column
"760"|"MAYOTTE (AFRICA - FRENCH)"|"i94cit_res"
"473"|"MICRONESIA, FED. STATES OF"|"i94cit_res"
"157"|"MOLDOVA"|"i94cit_res"
"122"|"MONACO"|"i94cit_res"
"299"|"MONGOLIA"|"i94cit_res"
"735"|"MONTENEGRO"|"i94cit_res"
"521"|"MONTSERRAT"|"i94cit_res"
"332"|"MOROCCO"|"i94cit_res"
"329"|"MOZAMBIQUE"|"i94cit_res"
"371"|"NAMIBIA"|"i94cit_res"
"440"|"NAURU"|"i94cit_res"
"257"|"NEPAL"|"i94cit_res"
"123"|"NETHERLANDS"|"i94cit_res"
"508"|"NETHERLANDS ANTILLES"|"i94cit_res"
"409"|"NEW CALEDONIA"|"i94cit_res"
"464"|"NEW ZEALAND"|"i94cit_res"
"579"|"NICARAGUA"|"i94cit_res"
"390"|"NIGER"|"i94cit_res"
"343"|"NIGERIA"|"i94cit_res"
"470"|"NIUE"|"i94cit_res"
"275"|"NORTH KOREA"|"i94cit_res"
"124"|"NORWAY"|"i94cit_res"
"256"|"OMAN"|"i94cit_res"
"258"|"PAKISTAN"|"i94cit_res"
"474"|"PALAU"|"i94cit_res"
"743"|"PALESTINE"|"i94cit_res"
"504"|"PANAMA"|"i94cit_res"
"441"|"PAPUA NEW GUINEA"|"i94cit_res"
"693"|"PARAGUAY"|"i94cit_res"
"694"|"PERU"|"i94cit_res"
"260"|"PHILIPPINES"|"i94cit_res"
"416"|"PITCAIRN ISLANDS"|"i94cit_res"
"107"|"POLAND"|"i94cit_res"
"126"|"PORTUGAL"|"i94cit_res"
"297"|"QATAR"|"i94cit_res"
"748"|"REPUBLIC OF SOUTH SUDAN"|"i94cit_res"
"321"|"REUNION"|"i94cit_res"
"127"|"ROMANIA"|"i94cit_res"
"158"|"RUSSIA"|"i94cit_res"
"376"|"RWANDA"|"i94cit_res"
"128"|"SAN MARINO"|"i94cit_res"
"330"|"SAO TOME AND PRINCIPE"|"i94cit_res"
"261"|"SAUDI ARABIA"|"i94cit_res"
"391"|"SENEGAL"|"i94cit_res"
"142"|"SERBIA AND MONTENEGRO"|"i94cit_res"
"745"|"SERBIA"|"i94cit_res"
"347"|"SEYCHELLES"|"i94cit_res"
"348"|"SIERRA LEONE"|"i94cit_res"
"207"|"SINGAPORE"|"i94cit_res"
"141"|"SLOVAKIA"|"i94cit_res"
"166"|"SLOVENIA"|"i94cit_res"
"412"|"SOLOMON ISLANDS"|"i94cit_res"
"397"|"SOMALIA"|"i94cit_res"
"373"|"SOUTH AFRICA"|"i94cit_res"
"276"|"SOUTH KOREA"|"i94cit_res"
"129"|"SPAIN"|"i94cit_res"
"244"|"SRI LANKA"|"i94cit_res"
"346"|"ST. HELENA"|"i94cit_res"
"522"|"ST. KITTS-NEVIS"|"i94cit_res"
"523"|"ST. LUCIA"|"i94cit_res"
"502"|"ST. PIERRE AND MIQUELON"|"i94cit_res"
"524"|"ST. VINCENT-GRENADINES"|"i94cit_res"
"716"|"SAINT BARTHELEMY"|"i94cit_res"
"736"|"SAINT MARTIN"|"i94cit_res"
"749"|"SAINT MAARTEN"|"i94cit_res"
"350"|"SUDAN"|"i94cit_res"
"602"|"SURINAME"|"i94cit_res"
"351"|"SWAZILAND"|"i94cit_res"
"130"|"SWEDEN"|"i94cit_res"
"131"|"SWITZERLAND"|"i94cit_res"
"262"|"SYRIA"|"i94cit_res"
"268"|"TAIWAN"|"i94cit_res"
"159"|"TAJIKISTAN"|"i94cit_res"
"353"|"TANZANIA"|"i94cit_res"
"263"|"THAILAND"|"i94cit_res"
"304"|"TOGO"|"i94cit_res"
"417"|"TONGA"|"i94cit_res"
"516"|"TRINIDAD AND TOBAGO"|"i94cit_res"
"323"|"TUNISIA"|"i94cit_res"
"264"|"TURKEY"|"i94cit_res"
"161"|"TURKMENISTAN"|"i94cit_res"
"527"|"TURKS AND CAICOS ISLANDS"|"i94cit_res"
"420"|"TUVALU"|"i94cit_res"
"352"|"UGANDA"|"i94cit_res"
"162"|"UKRAINE"|"i94cit_res"
"296"|"UNITED ARAB EMIRATES"|"i94cit_res"
"135"|"UNITED KINGDOM"|"i94cit_res"
"695"|"URUGUAY"|"i94cit_res"
"163"|"UZBEKISTAN"|"i94cit_res"
"410"|"VANUATU"|"i94cit_res"
"696"|"VENEZUELA"|"i94cit_res"
"266"|"VIETNAM"|"i94cit_res"
"469"|"WALLIS AND FUTUNA ISLANDS"|"i94cit_res"
"757"|"WEST INDIES (FRENCH)"|"i94cit_res"
"333"|"WESTERN SAHARA"|"i94cit_res"
"465"|"WESTERN SAMOA"|"i94cit_res"
"216"|"YEMEN"|"i94cit_res"
"139"|"YUGOSLAVIA"|"i94cit_res"
"301"|"ZAIRE"|"i94cit_res"
"344"|"ZAMBIA"|"i94cit_res"
"315"|"ZIMBABWE"|"i94cit_res"
"403"|"INVALID: AMERICAN SAMOA"|"i94cit_res"
"712"|"INVALID: ANTARCTICA"|"i94cit_res"
"700"|"INVALID: BORN ON BOARD SHIP"|"i94cit_res"
"719"|"INVALID: BOUVET ISLAND (ANTARCTICA/NORWAY TERR.)"|"i94cit_res"
"574"|"INVALID: CANADA"|"i94cit_res"
"720"|"INVALID: CANTON AND ENDERBURY ISLS"|"i94cit_res"
"106"|"INVALID: CZECHOSLOVAKIA"|"i94cit_res"
"739"|"INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY)"|"i94cit_res"
"394"|"INVALID: FRENCH SOUTHERN AND ANTARCTIC"|"i94cit_res"
"501"|"INVALID: GREENLAND"|"i94cit_res"
"404"|"INVALID: GUAM"|"i94cit_res"
"730"|"INVALID: INTERNATIONAL WATERS"|"i94cit_res"
"731"|"INVALID: JOHNSON ISLAND"|"i94cit_res"
"471"|"INVALID: MARIANA ISLANDS, NORTHERN"|"i94cit_res"
"737"|"INVALID: MIDWAY ISLANDS"|"i94cit_res"
"753"|"INVALID: MINOR OUTLYING ISLANDS - USA"|"i94cit_res"
"740"|"INVALID: NEUTRAL ZONE (S. ARABIA/IRAQ)"|"i94cit_res"
"710"|"INVALID: NON-QUOTA IMMIGRANT"|"i94cit_res"
"505"|"INVALID: PUERTO RICO"|"i94cit_res"
"0"|"INVALID: STATELESS"|"i94cit_res"
"705"|"INVALID: STATELESS"|"i94cit_res"
"583"|"INVALID: UNITED STATES"|"i94cit_res"
"407"|"INVALID: UNITED STATES"|"i94cit_res"
"999"|"INVALID: UNKNOWN"|"i94cit_res"
"239"|"INVALID: UNKNOWN COUNTRY"|"i94cit_res"
"134"|"INVALID: USSR"|"i94cit_res"
"506"|"INVALID: U.S. VIRGIN ISLANDS"|"i94cit_res"
"755"|"INVALID: WAKE ISLAND"|"i94cit_res"
"311"|"Collapsed Tanzania (should not show)"|"i94cit_res"
"741"|"Collapsed Curacao (should not show)"|"i94cit_res"
"54"|"No Country Code (54)"|"i94cit_res"
"100"|"No Country Code (100)"|"i94cit_res"
"187"|"No Country Code (187)"|"i94cit_res"
"190"|"No Country Code (190)"|"i94cit_res"
"200"|"No Country Code (200)"|"i94cit_res"
"219"|"No Country Code (219)"|"i94cit_res"
"238"|"No Country Code (238)"|"i94cit_res"
"277"|"No Country Code (277)"|"i94cit_res"
"293"|"No Country Code (293)"|"i94cit_res"
"300"|"No Country Code (300)"|"i94cit_res"
"319"|"No Country Code (319)"|"i94cit_res"
"365"|"No Country Code (365)"|"i94cit_res"
"395"|"No Country Code (395)"|"i94cit_res"
"400"|"No Country Code (400)"|"i94cit_res"
"485"|"No Country Code (485)"|"i94cit_res"
"503"|"No Country Code (503)"|"i94cit_res"
"589"|"No Country Code (589)"|"i94cit_res"
"592"|"No Country Code (592)"|"i94cit_res"
"791"|"No Country Code (791)"|"i94cit_res"
"849"|"No Country Code (849)"|"i94cit_res"
"914"|"No Country Code (914)"|"i94cit_res"
"944"|"No Country Code (944)"|"i94cit_res"
"996"|"No Country Code (996)"|"i94cit_res"
"ALC"|"ALCAN, AK"|"i94port"
"ANC"|"ANCHORAGE, AK"|"i94port"
"BAR"|"BAKER AAF - BAKER ISLAND, AK"|"i94port"
"DAC"|"DALTONS CACHE, AK"|"i94port"
"PIZ"|"DEW STATION PT LAY DEW, AK"|"i94port"
"DTH"|"DUTCH HARBOR, AK"|"i94port"
"EGL"|"EAGLE, AK"|"i94port"
"FRB"|"FAIRBANKS, AK"|"i94port"
"HOM"|"HOMER, AK"|"i94port"
"HYD"|"HYDER, AK"|"i94port"
"JUN"|"JUNEAU, AK"|"i94port"
"5KE"|"KETCHIKAN, AK"|"i94port"
"KET"|"KETCHIKAN, AK"|"i94port"
"MOS"|"MOSES POINT INTERMEDIATE, AK"|"i94port"
"NIK"|"NIKISKI, AK"|"i94port"
"NOM"|"NOM, AK"|"i94port"
"PKC"|"POKER CREEK, AK"|"i94port"
"ORI"|"PORT LIONS SPB, AK"|"i94port"
"SKA"|"SKAGWAY, AK"|"i94port"
"SNP"|"ST. PAUL ISLAND, AK"|"i94port"
"TKI"|"TOKEEN, AK"|"i94port"
"WRA"|"WRANGELL, AK"|"i94port"
"HSV"|"MADISON COUNTY - HUNTSVILLE, AL"|"i94port"
"MOB"|"MOBILE, AL"|"i94port"
"LIA"|"LITTLE ROCK, AR (BPS)"|"i94port"
"ROG"|"ROGERS ARPT, AR"|"i94port"
"DOU"|"DOUGLAS, AZ"|"i94port"
"LUK"|"LUKEVILLE, AZ"|"i94port"
"MAP"|"MARIPOSA AZ"|"i94port"
"NAC"|"NACO, AZ"|"i94port"
"NOG"|"NOGALES, AZ"|"i94port"
"PHO"|"PHOENIX, AZ"|"i94port"
"POR"|"PORTAL, AZ"|"i94port"
"SLU"|"SAN LUIS, AZ"|"i94port"
"SAS"|"SASABE, AZ"|"i94port"
"TUC"|"TUCSON, AZ"|"i94port"
"YUI"|"YUMA, AZ"|"i94port"
"AND"|"ANDRADE, CA"|"i94port"
"BUR"|"BURBANK, CA"|"i94port"
"CAL"|"CALEXICO, CA"|"i94port"
"CAO"|"CAMPO, CA"|"i94port"
"FRE"|"FRESNO, CA"|"i94port"
"ICP"|"IMPERIAL COUNTY, CA"|"i94port"
"LNB"|"LONG BEACH, CA"|"i94port"
"LOS"|"LOS ANGELES, CA"|"i94port"
"BFL"|"MEADOWS FIELD - BAKERSFIELD, CA"|"i94port"
"OAK"|"OAKLAND, CA"|"i94port"
"ONT"|"ONTARIO, CA"|"i94port"
"OTM"|"OTAY MESA, CA"|"i94port"
"BLT"|"PACIFIC, HWY. STATION, CA"|"i94port"
"PSP"|"PALM SPRINGS, CA"|"i94port"
"SAC"|"SACRAMENTO, CA"|"i94port"
"SLS"|"SALINAS, CA (BPS)"|"i94port"
"SDP"|"SAN DIEGO, CA"|"i94port"
"SFR"|"SAN FRANCISCO, CA"|"i94port"
"SNJ"|"SAN JOSE, CA"|"i94port"
"SLO"|"SAN LUIS OBISPO, CA"|"i94port"
"SLI"|"SAN LUIS OBISPO, CA (BPS)"|"i94port"
"SPC"|"SAN PEDRO, CA"|"i94port"
"SYS"|"SAN YSIDRO, CA"|"i94port"
"SAA"|"SANTA ANA, CA"|"i94port"
"STO"|"STOCKTON, CA (BPS)"|"i94port"
"TEC"|"TECATE, CA"|"i94port"
"TRV"|"TRAVIS-AFB, CA"|"i94port"
"APA"|"ARAPAHOE COUNTY, CO"|"i94port"
"ASE"|"ASPEN, CO #ARPT"|"i94port"
"COS"|"COLORADO SPRINGS, CO"|"i94port"
"DEN"|"DENVER, CO"|"i94port"
"DRO"|"LA PLATA - DURANGO, CO"|"i94port"
"BDL"|"BRADLEY INTERNATIONAL, CT"|"i94port"
"BGC"|"BRIDGEPORT, CT"|"i94port"
"GRT"|"GROTON, CT"|"i94port"
"HAR"|"HARTFORD, CT"|"i94port"
"NWH"|"NEW HAVEN, CT"|"i94port"
"NWL"|"NEW LONDON, CT"|"i94port"
"TST"|"NEWINGTON DATA CENTER TEST, CT"|"i94port"
"WAS"|"WASHINGTON DC"|"i94port"
"DOV"|"DOVER AFB, DE"|"i94port"
"DVD"|"DOVER-AFB, DE"|"i94port"
"WLL"|"WILMINGTON, DE"|"i94port"
"BOC"|"BOCAGRANDE, FL"|"i94port"
"SRQ"|"BRADENTON - SARASOTA, FL"|"i94port"
"CAN"|"CAPE CANAVERAL, FL"|"i94port"
"DAB"|"DAYTONA BEACH INTERNATIONAL, FL"|"i94port"
"FRN"|"FERNANDINA, FL"|"i94port"
"FTL"|"FORT LAUDERDALE, FL"|"i94port"
"FMY"|"FORT MYERS, FL"|"i94port"
"FPF"|"FORT PIERCE, FL"|"i94port"
"HUR"|"HURLBURT FIELD, FL"|"i94port"
"GNV"|"J R ALISON MUNI - GAINESVILLE, FL"|"i94port"
"JAC"|"JACKSONVILLE, FL"|"i94port"
"KEY"|"KEY WEST, FL"|"i94port"
"LEE"|"LEESBURG MUNICIPAL AIRPORT, FL"|"i94port"
"MLB"|"MELBOURNE, FL"|"i94port"
"MIA"|"MIAMI, FL"|"i94port"
"APF"|"NAPLES, FL #ARPT"|"i94port"
"OPF"|"OPA LOCKA, FL"|"i94port"
"ORL"|"ORLANDO, FL"|"i94port"
"PAN"|"PANAMA CITY, FL"|"i94port"
"PEN"|"PENSACOLA, FL"|"i94port"
"PCF"|"PORT CANAVERAL, FL"|"i94port"
"PEV"|"PORT EVERGLADES, FL"|"i94port"
"PSJ"|"PORT ST JOE, FL"|"i94port"
"SFB"|"SANFORD, FL"|"i94port"
"SGJ"|"ST AUGUSTINE ARPT, FL"|"i94port"
"SAU"|"ST AUGUSTINE, FL"|"i94port"
"FPR"|"ST LUCIE COUNTY, FL"|"i94port"
"SPE"|"ST PETERSBURG, FL"|"i94port"
"TAM"|"TAMPA, FL"|"i94port"
"WPB"|"WEST PALM BEACH, FL"|"i94port"
"ATL"|"ATLANTA, GA"|"i94port"
"BRU"|"BRUNSWICK, GA"|"i94port"
"AGS"|"BUSH FIELD - AUGUSTA, GA"|"i94port"
"SAV"|"SAVANNAH, GA"|"i94port"
"AGA"|"AGANA, GU"|"i94port"
"HHW"|"HONOLULU, HI"|"i94port"
"OGG"|"KAHULUI - MAUI, HI"|"i94port"
"KOA"|"KEAHOLE-KONA, HI"|"i94port"
"LIH"|"LIHUE, HI"|"i94port"
"CID"|"CEDAR RAPIDS/IOWA CITY, IA"|"i94port"
"DSM"|"DES MOINES, IA"|"i94port"
"BOI"|"AIR TERM. (GOWEN FLD) BOISE, ID"|"i94port"
"EPI"|"EASTPORT, ID"|"i94port"
"IDA"|"FANNING FIELD - IDAHO FALLS, ID"|"i94port"
"PTL"|"PORTHILL, ID"|"i94port"
"SPI"|"CAPITAL - SPRINGFIELD, IL"|"i94port"
"CHI"|"CHICAGO, IL"|"i94port"
"DPA"|"DUPAGE COUNTY, IL"|"i94port"
"PIA"|"GREATER PEORIA, IL"|"i94port"
"RFD"|"GREATER ROCKFORD, IL"|"i94port"
"UGN"|"MEMORIAL - WAUKEGAN, IL"|"i94port"
"GAR"|"GARY, IN"|"i94port"
"HMM"|"HAMMOND, IN"|"i94port"
"INP"|"INDIANAPOLIS, IN"|"i94port"
"MRL"|"MERRILLVILLE, IN"|"i94port"
"SBN"|"SOUTH BEND, IN"|"i94port"
"ICT"|"MID-CONTINENT - WITCHITA, KS"|"i94port"
"LEX"|"BLUE GRASS - LEXINGTON, KY"|"i94port"
"LOU"|"LOUISVILLE, KY"|"i94port"
"BTN"|"BATON ROUGE, LA"|"i94port"
"LKC"|"LAKE CHARLES, LA"|"i94port"
"LAK"|"LAKE CHARLES, LA (BPS)"|"i94port"
"MLU"|"MONROE, LA"|"i94port"
"MGC"|"MORGAN CITY, LA"|"i94port"
"NOL"|"NEW ORLEANS, LA"|"i94port"
"BOS"|"BOSTON, MA"|"i94port"
"GLO"|"GLOUCESTER, MA"|"i94port"
"BED"|"HANSCOM FIELD - BEDFORD, MA"|"i94port"
"LYN"|"LYNDEN, WA"|"i94port"
"ADW"|"ANDREWS AFB, MD"|"i94port"
"BAL"|"BALTIMORE, MD"|"i94port"
"MKG"|"MUSKEGON, MD"|"i94port"
"PAX"|"PATUXENT RIVER, MD"|"i94port"
"BGM"|"BANGOR, ME"|"i94port"
"BOO"|"BOOTHBAY HARBOR, ME"|"i94port"
"BWM"|"BRIDGEWATER, ME"|"i94port"
"BCK"|"BUCKPORT, ME"|"i94port"
"CLS"|"CALAIS, ME"|"i94port"
"CRB"|"CARIBOU, ME"|"i94port"
"COB"|"COBURN GORE, ME"|"i94port"
"EST"|"EASTCOURT, ME"|"i94port"
"EPT"|"EASTPORT MUNICIPAL, ME"|"i94port"
"EPM"|"EASTPORT, ME"|"i94port"
"FOR"|"FOREST CITY, ME"|"i94port"
"FTF"|"FORT FAIRFIELD, ME"|"i94port"
"FTK"|"FORT KENT, ME"|"i94port"
"HML"|"HAMIIN, ME"|"i94port"
"HTM"|"HOULTON, ME"|"i94port"
"JKM"|"JACKMAN, ME"|"i94port"
"KAL"|"KALISPEL, MT"|"i94port"
"LIM"|"LIMESTONE, ME"|"i94port"
"LUB"|"LUBEC, ME"|"i94port"
"MAD"|"MADAWASKA, ME"|"i94port"
"POM"|"PORTLAND, ME"|"i94port"
"RGM"|"RANGELEY, ME (BPS)"|"i94port"
"SBR"|"SOUTH BREWER, ME"|"i94port"
